date,clinic_id,clinic_name,country,medicine_stock_units,medicine_stock_capacity,beds_available,beds_total,staff_present,staff_total,patient_footfall
2026-08-14,IN-02,Rampur PHC,India,682.9,800,12,15,4,6,59
2026-08-15,IN-02,Rampur PHC,India,681.5,800,9,15,6,6,48
2026-08-16,IN-02,Rampur PHC,India,674.7,800,10,15,5,6,52
2026-08-17,IN-02,Rampur PHC,India,688.9,800,12,15,4,6,55
2026-08-18,IN-02,Rampur PHC,India,662.0,800,14,15,5,6,46
2026-08-19,IN-02,Rampur PHC,India,668.6,800,12,15,6,6,57
2026-08-20,IN-02,Rampur PHC,India,685.8,800,10,15,4,6,47
2026-08-21,IN-02,Rampur PHC,India,684.9,800,14,15,4,6,46
2026-08-01,IN-03,Deoria PHC,India,1029.0,1200,16,25,9,10,44
2026-08-02,IN-03,Deoria PHC,India,1010.6,1200,14,25,8,10,51
2026-08-03,IN-03,Deoria PHC,India,1012.4,1200,24,25,10,10,31
2026-08-04,IN-03,Deoria PHC,India,1003.4,1200,22,25,9,10,55
2026-08-05,IN-03,Deoria PHC,India,1040.8,1200,25,25,8,10,41
2026-08-06,IN-03,Deoria PHC,India,1020.3,1200,16,25,9,10,52
2026-08-07,IN-03,Deoria PHC,India,1017.6,1200,16,25,8,10,51
2026-08-08,IN-03,Deoria PHC,India,1038.0,1200,21,25,9,10,58
2026-08-09,IN-03,Deoria PHC,India,1020.8,1200,24,25,10,10,55
2026-08-10,IN-03,Deoria PHC,India,1023.6,1200,20,25,9,10,47
2026-08-11,IN-03,Deoria PHC,India,1030.5,1200,18,25,9,10,35
2026-08-12,IN-03,Deoria PHC,India,1021.6,1200,13,25,8,10,57
2026-08-13,IN-03,Deoria PHC,India,1021.9,1200,20,25,10,10,55
2026-08-14,IN-03,Deoria PHC,India,1022.9,1200,25,25,9,10,45
2026-08-15,IN-03,Deoria PHC,India,1028.2,1200,20,25,10,10,36
2026-08-16,IN-03,Deoria PHC,India,1026.7,1200,17,25,8,10,96
2026-08-17,IN-03,Deoria PHC,India,889.1,1200,19,25,9,10,90
2026-08-18,IN-03,Deoria PHC,India,775.8,1200,20,25,10,10,86
2026-08-19,IN-03,Deoria PHC,India,636.8,1200,24,25,10,10,107
2026-08-20,IN-03,Deoria PHC,India,523.5,1200,20,25,9,10,104
2026-08-21,IN-03,Deoria PHC,India,400.0,1200,25,25,9,10,112
2026-08-01,BR-01,Vila Nova PHC,Brazil,774.4,900,12,18,5,7,57
2026-08-02,BR-01,Vila Nova PHC,Brazil,723.5,900,17,18,5,7,39
2026-08-03,BR-01,Vila Nova PHC,Brazil,712.1,900,11,18,6,7,36
2026-08-04,BR-01,Vila Nova PHC,Brazil,673.0,900,11,18,7,7,41
2026-08-05,BR-01,Vila Nova PHC,Brazil,668.3,900,14,18,6,7,33
2026-08-06,BR-01,Vila Nova PHC,Brazil,629.6,900,16,18,6,7,53
2026-08-07,BR-01,Vila Nova PHC,Brazil,619.2,900,12,18,7,7,55
2026-08-08,BR-01,Vila Nova PHC,Brazil,588.0,900,13,18,6,7,57
2026-08-09,BR-01,Vila Nova PHC,Brazil,543.6,900,11,18,5,7,49
2026-08-10,BR-01,Vila Nova PHC,Brazil,525.9,900,17,18,7,7,39
2026-08-11,BR-01,Vila Nova PHC,Brazil,522.4,900,9,18,6,7,46
2026-08-12,BR-01,Vila Nova PHC,Brazil,478.5,900,16,18,7,7,32
2026-08-13,BR-01,Vila Nova PHC,Brazil,458.6,900,16,18,7,7,57
2026-08-14,BR-01,Vila Nova PHC,Brazil,425.9,900,14,18,5,7,59
2026-08-15,BR-01,Vila Nova PHC,Brazil,409.1,900,18,18,6,7,56
2026-08-16,BR-01,Vila Nova PHC,Brazil,383.9,900,14,18,7,7,33
2026-08-17,BR-01,Vila Nova PHC,Brazil,359.1,900,12,18,5,7,37
2026-08-18,BR-01,Vila Nova PHC,Brazil,336.5,900,10,18,6,7,46
2026-08-19,BR-01,Vila Nova PHC,Brazil,293.0,900,13,18,6,7,38
2026-08-20,BR-01,Vila Nova PHC,Brazil,275.0,900,18,18,5,7,33
2026-08-21,BR-01,Vila Nova PHC,Brazil,250.6,900,9,18,7,7,50
2026-08-01,BR-02,Santa Fe PHC,Brazil,925.6,1100,21,22,9,9,36
2026-08-02,BR-02,Santa Fe PHC,Brazil,919.1,1100,12,22,8,9,51
2026-08-03,BR-02,Santa Fe PHC,Brazil,908.5,1100,20,22,8,9,31
2026-08-04,BR-02,Santa Fe PHC,Brazil,932.2,1100,20,22,7,9,56
2026-08-05,BR-02,Santa Fe PHC,Brazil,940.1,1100,21,22,9,9,48
2026-08-06,BR-02,Santa Fe PHC,Brazil,956.1,1100,20,22,8,9,54
2026-08-07,BR-02,Santa Fe PHC,Brazil,940.8,1100,13,22,9,9,53
2026-08-08,BR-02,Santa Fe PHC,Brazil,930.4,1100,15,22,8,9,49
2026-08-09,BR-02,Santa Fe PHC,Brazil,938.7,1100,15,22,9,9,35
2026-08-10,BR-02,Santa Fe PHC,Brazil,939.3,1100,13,22,7,9,52
2026-08-11,BR-02,Santa Fe PHC,Brazil,933.8,1100,17,22,9,9,33
2026-08-12,BR-02,Santa Fe PHC,Brazil,938.2,1100,17,22,9,9,41
2026-08-13,BR-02,Santa Fe PHC,Brazil,951.2,1100,19,22,7,9,58
2026-08-14,BR-02,Santa Fe PHC,Brazil,940.6,1100,11,22,7,9,40
2026-08-15,BR-02,Santa Fe PHC,Brazil,939.6,1100,11,22,9,9,46
2026-08-16,BR-02,Santa Fe PHC,Brazil,946.9,1100,17,22,9,9,34
2026-08-17,BR-02,Santa Fe PHC,Brazil,958.4,1100,19,22,9,9,56
2026-08-18,BR-02,Santa Fe PHC,Brazil,929.8,1100,19,22,7,9,47
2026-08-19,BR-02,Santa Fe PHC,Brazil,925.5,1100,18,22,9,9,39
2026-08-20,BR-02,Santa Fe PHC,Brazil,939.2,1100,15,22,9,9,45
2026-08-21,BR-02,Santa Fe PHC,Brazil,938.8,1100,16,22,9,9,59
2026-08-01,BR-03,Boa Vista PHC,Brazil,643.1,750,7,14,4,6,50
2026-08-02,BR-03,Boa Vista PHC,Brazil,637.9,750,14,14,6,6,54
2026-08-03,BR-03,Boa Vista PHC,Brazil,648.2,750,11,14,5,6,38
2026-08-04,BR-03,Boa Vista PHC,Brazil,627.0,750,14,14,5,6,38
2026-08-05,BR-03,Boa Vista PHC,Brazil,626.2,750,12,14,5,6,47
2026-08-06,BR-03,Boa Vista PHC,Brazil,619.4,750,12,14,5,6,59
2026-08-07,BR-03,Boa Vista PHC,Brazil,623.6,750,10,14,5,6,40
2026-08-08,BR-03,Boa Vista PHC,Brazil,607.1,750,12,14,4,6,33
2026-08-09,BR-03,Boa Vista PHC,Brazil,632.2,750,14,14,4,6,45
2026-08-10,BR-03,Boa Vista PHC,Brazil,657.1,750,11,14,4,6,58
2026-08-11,BR-03,Boa Vista PHC,Brazil,653.1,750,8,14,6,6,30
2026-08-12,BR-03,Boa Vista PHC,Brazil,635.4,750,14,14,4,6,57
2026-08-13,BR-03,Boa Vista PHC,Brazil,636.0,750,7,14,4,6,45
2026-08-14,BR-03,Boa Vista PHC,Brazil,640.0,750,10,14,4,6,51
2026-08-15,BR-03,Boa Vista PHC,Brazil,613.1,750,10,14,5,6,43
2026-08-16,BR-03,Boa Vista PHC,Brazil,634.5,750,12,14,6,6,51
2026-08-17,BR-03,Boa Vista PHC,Brazil,646.5,750,8,14,4,6,43
2026-08-18,BR-03,Boa Vista PHC,Brazil,629.1,750,9,14,5,6,47
2026-08-19,BR-03,Boa Vista PHC,Brazil,635.8,750,7,14,5,6,59
2026-08-20,BR-03,Boa Vista PHC,Brazil,640.4,750,12,14,5,6,35
2026-08-21,BR-03,Boa Vista PHC,Brazil,629.1,750,10,14,5,6,38
2026-08-01,ZA-01,Khayelitsha PHC,South Africa,799.8,950,11,19,7,8,43
2026-08-02,ZA-01,Khayelitsha PHC,South Africa,789.9,950,19,19,6,8,58
2026-08-03,ZA-01,Khayelitsha PHC,South Africa,791.8,950,11,19,8,8,45
2026-08-04,ZA-01,Khayelitsha PHC,South Africa,834.4,950,11,19,7,8,44
2026-08-05,ZA-01,Khayelitsha PHC,South Africa,795.9,950,19,19,8,8,48
2026-08-06,ZA-01,Khayelitsha PHC,South Africa,819.9,950,19,19,7,8,47
2026-08-07,ZA-01,Khayelitsha PHC,South Africa,793.0,950,13,19,6,8,45
2026-08-08,ZA-01,Khayelitsha PHC,South Africa,810.8,950,18,19,8,8,57
2026-08-09,ZA-01,Khayelitsha PHC,South Africa,804.1,950,12,19,6,8,58
2026-08-10,ZA-01,Khayelitsha PHC,South Africa,816.7,950,12,19,8,8,44
2026-08-11,ZA-01,Khayelitsha PHC,South Africa,814.0,950,17,19,6,8,55
2026-08-12,ZA-01,Khayelitsha PHC,South Africa,805.1,950,11,19,6,8,42
2026-08-13,ZA-01,Khayelitsha PHC,South Africa,807.5,950,10,19,6,8,40
2026-08-14,ZA-01,Khayelitsha PHC,South Africa,797.3,950,10,19,8,8,43
2026-08-15,ZA-01,Khayelitsha PHC,South Africa,797.9,950,12,19,6,8,44
2026-08-16,ZA-01,Khayelitsha PHC,South Africa,819.0,950,15,19,8,8,56
2026-08-17,ZA-01,Khayelitsha PHC,South Africa,801.3,950,15,19,7,8,55
2026-08-18,ZA-01,Khayelitsha PHC,South Africa,783.7,950,19,19,8,8,40
2026-08-19,ZA-01,Khayelitsha PHC,South Africa,796.0,950,11,19,7,8,55
2026-08-20,ZA-01,Khayelitsha PHC,South Africa,824.8,950,12,19,7,8,31
2026-08-21,ZA-01,Khayelitsha PHC,South Africa,817.0,950,13,19,7,8,44
2026-08-01,ZA-02,Soweto PHC,South Africa,912.9,1050,18,21,7,9,40
2026-08-02,ZA-02,Soweto PHC,South Africa,890.6,1050,17,21,9,9,51
2026-08-03,ZA-02,Soweto PHC,South Africa,884.9,1050,19,21,7,9,49
2026-08-04,ZA-02,Soweto PHC,South Africa,915.2,1050,16,21,9,9,48
2026-08-05,ZA-02,Soweto PHC,South Africa,892.2,1050,18,21,9,9,33
2026-08-06,ZA-02,Soweto PHC,South Africa,886.6,1050,17,21,7,9,36
2026-08-07,ZA-02,Soweto PHC,South Africa,907.3,1050,11,21,8,9,33
2026-08-08,ZA-02,Soweto PHC,South Africa,910.8,1050,19,21,8,9,57
2026-08-09,ZA-02,Soweto PHC,South Africa,892.4,1050,14,21,9,9,54
2026-08-10,ZA-02,Soweto PHC,South Africa,884.9,1050,20,21,7,9,41
2026-08-11,ZA-02,Soweto PHC,South Africa,891.9,1050,19,21,8,9,42
2026-08-12,ZA-02,Soweto PHC,South Africa,903.6,1050,18,21,7,9,35
2026-08-13,ZA-02,Soweto PHC,South Africa,874.3,1050,19,21,8,9,30
2026-08-14,ZA-02,Soweto PHC,South Africa,881.3,1050,18,21,9,9,38
2026-08-15,ZA-02,Soweto PHC,South Africa,899.6,1050,17,21,8,9,57
2026-08-16,ZA-02,Soweto PHC,South Africa,909.5,1050,19,21,8,9,123
2026-08-17,ZA-02,Soweto PHC,South Africa,792.9,1050,13,21,7,9,99
2026-08-18,ZA-02,Soweto PHC,South Africa,679.1,1050,15,21,9,9,106
2026-08-19,ZA-02,Soweto PHC,South Africa,565.1,1050,19,21,8,9,96
2026-08-20,ZA-02,Soweto PHC,South Africa,482.4,1050,19,21,9,9,102
2026-08-21,ZA-02,Soweto PHC,South Africa,364.8,1050,14,21,9,9,113
